NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
Agrupación Musical del Dulce Nombre de Jesús de Granada,AM del Dulce Nombre de Jesús,Granada,Granada,agrupacion musical del dulce nombre de jesus de granada
Agrupación Musical Ecce Mater de Cádiz,AM Ecce Mater,Cádiz,Cádiz,agrupacion musical ecce mater de cadiz
Agrupación Musical Jesús Cautivo de Estepona,AM Jesús Cautivo,Estepona,Málaga,agrupacion musical jesus cautivo de estepona
Agrupación Musical Jesús Despojado de Jaén,AM Jesús Despojado,Jaén,Jaén,agrupacion musical jesus despojado de jaen
Agrupación Musical María Santísima de la Estrella de Granada,AM María Santísima de la Estrella,Granada,Granada,agrupacion musical maria santisima de la estrella de granada
Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real,AM Nuestra Señora de las Angustias,Alcalá la Real,Jaén,agrupacion musical nuestra senora de las angustias de alcala la real
Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares,AM Nuestro Padre Jesús de la Pasión,Linares,Jaén,agrupacion musical nuestro padre jesus de la pasion de linares
Agrupación Musical Nuestro Padre Jesús de la Salud de Cádiz,AM Nuestro Padre Jesús de la Salud,Cádiz,Cádiz,agrupacion musical nuestro padre jesus de la salud de cadiz
Agrupación Musical Nuestro Padre Jesús de la Salud – Los Gitanos – de Sevilla,AM Nuestro Padre Jesús de la Salud Los Gitanos,Sevilla,Sevilla,agrupacion musical nuestro padre jesus de la salud los gitanos de sevilla
Agrupación Musical Nuestro Padre Jesús de los Afligidos de Puente Genil,AM Nuestro Padre Jesús de los Afligidos,Puente Genil,Córdoba,agrupacion musical nuestro padre jesus de los afligidos de puente genil
Agrupación Musical Nuestro Padre Jesús del Rescate de Granada,AM Nuestro Padre Jesús del Rescate,Granada,Granada,agrupacion musical nuestro padre jesus del rescate de granada
Agrupación Musical Nuestro Padre Jesús Nazareno de Campo de Criptana,AM Nuestro Padre Jesús Nazareno,Campo de Criptana,Ciudad Real,agrupacion musical nuestro padre jesus nazareno de campo de criptana
Agrupación Musical Polillas de Cádiz,AM Polillas (Cádiz),Cádiz,Cádiz,agrupacion musical polillas de cadiz
Agrupación Musical Santa Cecilia de Aguilar de la Frontera,AM Santa Cecilia,Aguilar de la Frontera,Córdoba,agrupacion musical santa cecilia de aguilar de la frontera
Agrupación Musical Santa Cruz de Huelva,AM Santa Cruz,Huelva,Huelva,agrupacion musical santa cruz de huelva
Agrupación Musical Santa María de la Paz de El Ejido,AM Santa María de la Paz,Ejido (El),Almería,agrupacion musical santa maria de la paz de el ejido
Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva,AM Santísimo Cristo del Amor La Cena,Huelva,Huelva,agrupacion musical santisimo cristo del amor la cena de huelva
Agrupación Musical Virgen de la Cabeza de Exfiliana,AM Virgen de la Cabeza de Exfiliana,Valle del Zalabí,Granada,agrupacion musical virgen de la cabeza de exfiliana
Agrupación Musical Virgen de la Oliva de Vejer de la Frontera,AM Virgen de la Oliva,Vejer de la Frontera,Cádiz,agrupacion musical virgen de la oliva de vejer de la frontera
Agrupación Músico-Cultural de la Santa Vera Cruz 'La Pepa' de Alhaurín el Grande,AMC Santa Vera Cruz 'La Pepa',Alhaurín el Grande,Málaga,agrupacion musico cultural de la santa vera cruz la pepa de alhaurin el grande
Asociación Musical San Isidro de Armilla,AM San Isidro,Armilla,Granada,asociacion musical san isidro de armilla
Asociación Músico-Cultural San Sebastián de Padul,AMC San Sebastián,Padul,Granada,asociacion musico cultural san sebastian de padul
Banda de Cornetas y Tambores Esencia de Sevilla,BCT Esencia (Sevilla),Sevilla,Sevilla,banda de cornetas y tambores esencia de sevilla
Banda de Cornetas y Tambores Fe y Consuelo de Martos,BCT Fe y Consuelo,Martos,Jaén,banda de cornetas y tambores fe y consuelo de martos
Banda de Cornetas y Tambores Jesús Nazareno de Huelva,BCT Jesús Nazareno,Huelva,Huelva,banda de cornetas y tambores jesus nazareno de huelva
Banda de Cornetas y Tambores La Unión de Baena,BCT La Unión,Baena,Córdoba,banda de cornetas y tambores la union de baena
Banda de Cornetas y Tambores María Santísima de la Victoria de Granada,BCT María Santísima de la Victoria,Granada,Granada,banda de cornetas y tambores maria santisima de la victoria de granada
Banda de Cornetas y Tambores Nuestra Señora del Rosario Coronada de Cádiz,BCT Nuestra Señora del Rosario Coronada,Cádiz,Cádiz,banda de cornetas y tambores nuestra senora del rosario coronada de cadiz
Banda de Cornetas y Tambores Nuestra Señora del Rosario de Arriate,BCT Nuestra Señora del Rosario,Arriate,Málaga,banda de cornetas y tambores nuestra senora del rosario de arriate
Banda de Cornetas y Tambores Nuestra Señora del Sol de Sevilla,BCT Nuestra Señora del Sol,Sevilla,Sevilla,banda de cornetas y tambores nuestra senora del sol de sevilla
Banda de Cornetas y Tambores Nuestro Padre Jesús de la Columna y María Santísima de la O – Los Gitanos – de Málaga,BCT Nuestro Padre Jesús de la Columna y María Santísima de la O Los Gitanos,Málaga,Málaga,banda de cornetas y tambores nuestro padre jesus de la columna y maria santisima de la o los gitanos de malaga
Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder de Granada,BCT Nuestro Padre Jesús del Gran Poder,Granada,Granada,banda de cornetas y tambores nuestro padre jesus del gran poder de granada
Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada,BCT Nuestro Padre Jesús Despojado de sus Vestiduras,Granada,Granada,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada
Banda de Cornetas y Tambores Santa Cruz de Almería,BCT Santa Cruz,Almería,Almería,banda de cornetas y tambores santa cruz de almeria
Banda de Cornetas y Tambores Santa María de la Granada de Moguer,BCT Santa María de la Granada,Moguer,Huelva,banda de cornetas y tambores santa maria de la granada de moguer
Banda de Cornetas y Tambores Santísima Trinidad de Palencia,BCT Santísima Trinidad,Palencia,Palencia,banda de cornetas y tambores santisima trinidad de palencia
Banda de Cornetas y Tambores Santísimo Cristo de la Columna – Los Coloraos – de Daimiel,BCT Santísimo Cristo de la Columna Los Coloraos,Daimiel,Ciudad Real,banda de cornetas y tambores santisimo cristo de la columna los coloraos de daimiel
